,prompt,completion,actual_completion
705,"Interested in this property? Click on: Reply to this listing for more information ** if you are texting us, please include the link to the listing so we can identify what you are inquiring on Velocity Apartment Group 312-253-7403 Availability and pricing may change at any time without notice. Ads subject to errors and omissions. Please contact agent for additional questions and information. Interested in this property? Click REPLY above and email us ** if you are texting us, please include the link to the listing so we can identify what you are inquiring on Lease term is -12 to 13 months No short term options! -=>", 2501-3000, 1501-
2953,"Unit Description - Modern, top floor Ravenswood 2-bed - 2021 Rehab - Loads of natural light - Remodeled kitchen: granite countertops, SS appliances, dishwasher - Updated bathroom - Queen-sized bedrooms - FREE HEAT! - Large living area - Plenty of storage space Leavitt & Wilson - Laundry in-building - Free heat! - Just steps to Lincoln Square, with great shopping and nightlife. - Close to Wells Park - Near several bus lines (#49, #50, #78, #11, #49B, #81) - Quarter-mile to Western Brown Line Station - Assigned building engineer - 24-hour emergency call center - NO SECURITY DEPOSIT AND FREE TO APPLY! ICM Properties has been proudly managing apartments since 1966. Please note this unit is available for March 1st only. Laura Toth 847-361-2911 - cell Laura @ <URL> ICM Properties, Inc. VIEW MORE LISTINGS HERE: https://ygl.is/laurasicmrentals -=>", 1501-2000, 1501-
39,"PROPERTY INFO ID: 238623374 Rent: $3,570 / Month Beds: 4 Bath: 4 Available Date: 08/01/2022 Pet: Cats Only Parking:: off-street parking NO SECURITY DEPOSIT!* This four bedroom, four bathroom duplex apartment features a traditional decorative fireplace and a new, masterfully constructed wood staircase leading to the lower level of the unit. The kitchen will soon have a brand new grey shaker cabinets and beautiful granite countertops along with stainless steel appliances which opens to the living room. The lower level of the unit has an additional living room and two bedrooms. Natural, refinished woodwork graces the apartment throughout. The unit also has plenty of modern conveniences such as laundry in the unit, gas forced heat, and central air conditioning. This charming greystone building is nestled on a quiet, tree lined street. The Addison CTA Brown Line is conveniently located less than one block away. Wrigley Field and its surrounding bars, restaurants and theaters are within easy reach (eight blocks east). Other Chicago neighborhoods, full of diverse activities and establishments, are easily accessible via Lincoln Avenue, these include: Lincoln Park, Lakeview, North Center, and Lincoln Square to name a few. Roscoe Village’s colorful clubs and bars are also just three blocks south. Parking is available at this location. We offer a hassle-free full online leasing process featuring online applications, lease signing, and payment options. FEATURES Central Air Decorative Fireplace Dishwasher Granite Tops Hardwood Floors Laundry in Unit Oven/Range Refrigerator NO SECURITY DEPOSIT! $150.00 Application Fee Per Person $100.00 Move-in Fee Per Bedroom NO DOGS, Cats ok! Advertised rent prices are subject to change without notice! Chicago Apartment Place Inc. 773.472.3713 -=>", 3501-4000, 3501-
1397,"Large newly renovated apartment available for rent in two unit building. Two bedroom with additional small room perfect for nursery or extra storage. New appliances, granite countertops, new flooring high ceilings, private entrance, enclosed back porch perfect for additional storage. The space is very clean and modern it’s a must see and won’t last long! Tenant responsible for gas and electric. No pets. Lots of steeet parking. Close to public transportation. Walking distance to Kennedy King College, shopping plaza, Walgreens, Aldi and more! $800 move in fee. No evictions and decent credit standing required. Section 8 Welcomed!! -=>", 1001-1500, 501-1000
3965,"Available early April! Please email inquiries and showing requests. Unit Features: -Completely renovated building -Granite Counters, 42 in. cabinets, hardwood floors -Dishwasher -Heat and water included -Free street parking -Small Pet Friendly (cats and dogs up to 40lbs, breed restrictions, pet fee) -Municipal parking lot 1 block away with off street parking for rent -Storage unit included! (based on availability) (Images are of exact or very similar unit on-site) Terms: $300 Nonrefundable Move-In Fee No Security Deposit Heat & water included! Tenant pays cooking gas and electric Berwyn is conveniently located within one mile of two major transportation arteries, the Eisenhower Expressway (I-290) to the north and the Stevenson Expressway (I-55) to the south. Berwyn has three commuter rail stations, serviced by Metra along the BNSF Railway, which offer Berwyn residents ready access to area jobs and visitors easy access to Berwyn's many attractions. Pace bus service is extensive and links conveniently to the CTA's elevated Blue Line trains. Additionally, both O'Hare International Airport and Midway International Airport are within easy driving distance. This building is conveniently located near grocery stores (Costco, Meijer, Tony's, Jewel), shopping (North Riverside Shopping Mall) and numerous dining and beverage establishments General Credit and Income Requirements: - 650+ credit score - Gross monthly income should be at lease 3x the rent (There are some exceptions to these requirements, such as being a full time student and having a cosigner) Meltzer Real Estate Equal Housing Opportunity No smoking -=>", 1001-1500, 1001-
1905,"Spacious, sunny 1 bed/1 bath with office nook in Bucktown avail ASAP. Uniquely painted cabinets and small mid-century wall mural (not pictured, can be painted over prior to move in). Pets allowed. Neighborhood boasts numerous restaurants, bars, shops and parks and is conveniently located right off several bus lines and Western Blue stop. Requirements: 650+ credit score and no prior evictions. -=>", 1001-1500, 1001-
2383,"Ravenswood 1 Bed, 1 Bath 2106 W. Ainslie Available: 12/1/2022 $1650 per Month Cool one bedroom one bathroom in the heart of Ravenswood features heat included, rehabbed kitchen with stainless steel appliances, dishwasher, microwave, separate dining area, spacious living room, large bedroom, amazing closet space, hardwood floors throughout, updated bathroom, laundry room in building, and pets are welcome. Just steps to transportation, nightlife, shopping, and more! UA1701 Heat Included: Yes Air Conditioning: No Dishwasher: Yes Laundry: In Building Flooring: Hardwood Parking: Street Pets: Cats and Dogs OK Square Feet: 700 Apartment ID: 25221 Please call or text Mary Ann de la Cruz at 773/852-3421 to schedule an appointment to view this apartment and mention Apartment ID above. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing -=>", 1501-2000, 1501-
1219,"Unit has 2 bedroom and 1 bath. Hook up for washer/dryer with laundry tub. Central air/forced heat. Attached 2 car garage w/electric door opener. Close to 80/94, Toll Rd. and South Shore train -=>", 1001-1500, 1501-
3596,"PROPERTY INFO ID: 313744243 Rent: $2,975 / Month Beds: 2 Bath: 1 Available Date: 03/07/2023 Pet: Pet Friendly Parking:: attached garage Contact Will Hill to Schedule Your Tour Today 630-209-4139(text preferred) Make sure you provide the ad info when contacting to better assist you! LOOKING FOR SOMETHING ELSE? FOLLOW LINK TO APARTMENT QUESTIONNAIRE BELOW <URL> Hablar espanol contacta a Diana. Texto preferido con detalles del listado 309-807-7552 Let this be your destination for the ideal balance of luxury and convenience. Step into this vibrant 22-floor building in Chicago's Medical District with easy access to CTA lines - perfect for both work and play! Experience meticulously designed spaces crafted around modern amenities while being surrounded by peaceful green areas that make relaxation worry-free. Embrace a sense of well-being  – where first-class services seamlessly blend with naturally inspired living! William Hill 630-209-4139 North Star Real Estate Group COMPANY SOCIAL MEDIA Follow North Star Real Estate at <URL> Tik Tok <URL> *Photos may be of model unit or similar available unit and are representative of apartment finishes. Views may vary depending on floor height. -=>", 2501-3000, 2501-
2987,"PROPERTY INFO ID: 304828651 Rent: $2,545 / Month Beds: 2 Bath: 2 Available Date: 11/01/2022 Pet: Pet Friendly Parking:: street parking Come take a look at this gorgeous high end 2 bed 2 bath located directly on Palmer Square. Full gut rehabbed unit Great natural light Park Views Central Heat/AC High Ceilings High end finishes Pet friendly Professional managed ***PRICE REFLECTS 2 MONTHS FREE ON A 17-20 MONTH LEASE*** ***12 MONTH LEASE 1 MONTH FREE FOR $2,833*** CALL OR TEXT Patrick 708.902.2266 @markey_real_estate @apartmentsource FEATURES Cats Ok Central Air Central Heat Direction: E Dishwasher Dogs Ok Gut Rehab Hardwood floors High Ceiling Laundry in Unit Microwave Modern Modern Bathroom Quartz Countertops Stainless Steel Appliances Updated Bathroom Updated kitchen Walk-In Closet Walk-Up Patrick Markey Licensed Leasing Agent 708 902 2266 TAS The Apartment Source Call or text: 773.404.9900 -=>", 2501-3000, 2501-
2101,"EAST OF HALSTED STREET IN PRIME BRIDGEPORT COOL 2 BEDROOM MINI LOFT WITH EXPOSED BRICK, TRACK LIGHTING, TALL CEILINGS, MASSIVE RUSTIC WOODEN BEAMED CEILING, AND PARKING….ONLY $995 MO. 773-373-7368- anytime-Video Tour at <URL> Location, Location! Walk to IIT or UIC, catch the Wallace bus in front or the L is nearby. Impress your friends with this mini loft, a cozy 2 bedroom apartment measuring about 700 square feet with an open space main living area of 390 square feet (13 x 30) in a true loft style with high 10 foot ceilings and big beams at the 2nd floor front of this vintage brick building which was seen in the new fall Fox series called The Chicago PD with Jennifer Beals and the Chicago Fire <URL> There are 2 full size modern wall heaters to keep you toasty warm and in the summertime there are 3 outside exposures and a ceiling fan to keep you cool. Everybody is welcome in our units Each bedroom is: Front 10 x 8 Back 9 x 10 Bathroom 6 x 6 Locking foyer 4 x 12 and a 4.5 x 3 unique food pantry. This 2rd floor front walk up “mini loft” apartment is perfect with parking in the back. It has an antique genuine solid wood floor and an entire wall of exposed brick which has been freshly tuck pointed in a custom color. You see the exposed genuine brick wall on your left illuminated by brand new track lighting on the ceiling and large beams with some exposed pipe and vents just like the big lofts downtown. From the main living area/kitchen you can open your kitchen door and step out on the fire escape and walk toward the lake to see the Chicago skyline. In the main living area is the kitchen with a stove and a fridge complete for entertaining your friends. If you have your own kitchen appliances you are welcome to bring those with. There are new mini blinds on all of the windows so even the window coverings have been done for you. The apartment is turn-key ready to move in. The apartment has great summer ventilation with 3 outside exposures North view, South view and West view where you can see the Sox Park fireworks after every ball game all summer just about a block away. The cozy remodeled bathroom has a tub & shower, shower surround, pedestal sink, and medicine cabinet measuring a cozy 6 x 6. There is a custom window for natural light. Photos at <URL> -Video Tour at <URL> Your new mini loft is a warm apartment in the wintertime with 2 modern wall heaters utilizing the advantage of another heated apartment under your place. Private parking for 3 cars is provided on a shared parking lot behind the building and there is easy parking on the street. This building is right next to the new houses just constructed right next door. You can walk to Cellular field right around the corner. The Wallace bus stops right in front of the building which goes to the Chicago Loop and you can walk to the red line. 773-373-7368 anytime-Video Tour at <URL> If you copy and paste this link you can take the video tour now <URL> Walking distance or a very short drive to IIT College, UIC College, College of Optometry, and others. Just a few blocks from the hot South Loop area, & Mercy Hospital. This apartment is private with great neighbors in this multi unit classic style brick building. The Wallace bus stops in front which travels straight to the loop including the Art Institute and Columbia College, Greek Town & China Town are nearby the Red line (which goes downtown in less than 10 minutes) is a safe walk to historic Cellular Field as you get on and off of the train The most desirable part of Bridgeport is EAST of Halsted Street in the heart of Bridgeport this. The rent is only $995 per month with NO security deposit, instead a one-time move in fee of only $495. 3 MOST IMPORTANT QUALIFICATIONS ARE… a 1-year lease with a $40 charge for a combined credit/eviction check. To apply for this apartment you will need a 600 minimum credit score, with no evictions, and a rental history that we will need to confirm. No exceptions please! For the showing time, address, and lots more details. If you would like to print out your rental application from our website and bring it with you along with a cash downpayment. Thanks for your interest. 773-373-7368 anytime-Video Tour at <URL> Close to and public trans 60007, 60018, 60068, 60106, 60131, 60176, 60601, 60602, 60603, 60604, 60605, 60606, 60607, 60608, 60609, 60610, 60611, 60612, 60613, 60614, 60615, 60616, 60617, 60618, 60619, 60620, 60621, 60622, 60623, 60624, 60625, 60626, 60628, 60629, 60630, 60631, 60632, 60633, 60634, 60636, 60637, 60638, 60639, 60640, 60641, 60642, 60643, 60644, 60645, 60646, 60647, 60649, 60651, 60652, 60653, 60654, 60655, 60656, 60657, 60659, 60660, 60661, 60706, 60707, 60714, 60804, 60827. Zip code 60007 -=>", 501-1000, 501-1000
1325,"Single Family Work/Live Opportunity! Unique 2400 sq ft single family home with attached commercial space, perfect for a work from home lifestyle! Completely renovated eat-in kitchen with attached sunroom that leads to a beautiful back deck. Additionally, second floor hosts a bedroom and a completely renovated full bathroom. Enormous 3rd floor master that boasts its own private front deck. Huge 3rd floor master bathroom, with soaking tub and separate shower. Small 3rd bedroom located directly off of the master, perfect for a nursery, additional office space or convert to a dream walk in closet!. Adorable backyard with large two car garage. Ample storage in basement. Commercial space boasts large storefront windows and its own separate half bath. Located in the vibrant Evanston Main/Chicago neighborhood 2 blocks to el, Metra, shops and restaurants. Wonderful park located 3 doors West. A must see! -=>", 2501-3000, 3001-
2187,"Sweet home…Your home!!! •	Juliet balcony reveals the stunning courtyard •	Loft-style apartment in Logan Square with a nod to the past •	Charcoal gray stainless-steel appliances, quartz countertops and white cabinets •	Walk-in shower, all new white subway tile and Kohler finishes •	Exposed beam and timber construction w gas fireplace •	High efficiency furnace and lots of insulation make for minimal utility costs •	Laundry, storage and bike room downstairs •	So sorry, NO pets and no smoking in this deluxe unit! Near The Blue Line, The 606, The Metra MD-N Line. Call us to schedule a viewing – Open House – Sat 11-2. Only $2195/mo – Available MAY 1 or later-– willing to pro-rate, too - Call 847.331.1466 and we’ll answer any questions too! -=>", 2001-2500, 2001-2500
812,"Check Out This Great Location With Easy Access To The Redline! Massive Floorplan W/Den Area That Can Fit A Queen Bed! Updated Bathroom W/Very Nice Shower! Heat, Hot Water, Cooking Gas, & Trash Included! Hardwood Floors, Ceiling Fan W/Lights, & Big Windows! Secure Entry & In Building Laundry! Call, Txt, Or Email Joseph Perez Landstar Realty Group, Inc. 630-709-1606 -=>", 501-1000, 1001-
226,"Available 9/12 possibly earlier! $1,700 unfurnished $1,900 furnished 2nd floor - 2 bed and 1 bath with separate and private entry way. Walking distance to Jefferson Park blue line, Metra station and minutes from 90 and 94. Unit rehabbed in 2016. Coin operated laundry in basement. *$25 non-refundable application fee* -=>", 1501-2000, 1501-
1508,"Complimentary fiber internet. You just need a router. Close to shopping, restaurants, buses, Walmart, Mariano and Trader Joes, Chipotle, Duffy's, Yolk. Apartment has a dishwasher and microwave. Sundeck. Fitness Room. Package room. Laundry room. Elevator. Lots of natural light. For more Information call Agnes at 312-216-7675 or the office 773-537-2000 BJB Properties Equal Housing Opportunity. Pictures are for marketing purposes and may not represent the exact. -=>", 1001-1500, 1501-
2033,"CHECK OUT OUR VIDEO TOUR: <URL> - High ceilings and good natural Light - Great views - Ultra modern kitchen w/ Quartz counters and SS appliances (inc Dishwasher) - Fresh white cabinets - Two large Queen-sized bedrooms w/ good closet space - Remodeled bathroom w/ great water pressure - In-Unit laundry - Central air - around corner from night life, restaurants & shopping - close to 2 bus lines - 24 hour emergency call center - no security deposit Sedgwick & Dickens ICM Properties has been proudly managing apartments since 1966. -=>", 2501-3000, 3001-
3266,"This 3-bedroom apartment is on the first floor of a 2-story building located in the heart of the East Village. Walk to transportation, restaurants, shopping and entertainment. This unit has recessed lighting, an updated kitchen with granite countertops and stainless-steel appliances. Included is a secured parking space and laundry facilities. Tenant is responsible for utilities which include gas, electric, and internet. Property is fenced with an intercom system for access. Occupancy is based on credit. There is an application fee of $45.00 for credit verification. -=>", 1501-2000, 1501-
3247,"Our large one, or two-bedroom apartments feature walk-in closets, carpet and vinyl flooring as well as a private patio/yard. Our community boasts beautiful scenery all around as well as a fitness center, playground and picnic area perfect for hosting events or personal enjoyment. View our current availabilities and apply online today to make Hidden Creek your next home! Hidden Creek is an apartment community located in Lake County and the 46307 ZIP Code. This area is served by the Lake Central School Corp attendance zone. -=>", 1001-1500, 1001-
2913,"PROPERTY INFO ID: 32192432 Rent: $1,697 / Month Beds: 2 Bath: 1 Available Date: NOW!! Pet: Cats & Small Dogs Only Parking:: street parking Beautiful 2BR/1BA with: - Hardwood Floors - New Kitchen with Dishwasher & Microwave - New Bath! - Tons of Closet Space - Queen Sized Bedrooms - Great location, close to Brown Line, metra, access to gyms, public transportation,  coffee shops, tasty restaurants, & grocery stores! FEATURES A/C Cats Ok Ceiling Fans Dishwasher Granite Counter Tops Hardwood Floors Microwave On-Site Laundry Radiator Heat Small Dog OK Stainless Steel Appliances The Apartment Source Text for quicker response 773-404-9900 -=>", 1501-2000, 1501-
1271,"Ravenswood Jr. 1BR! 3-minutes walk to Damen Brown Line! This spacious unit features massive living room with separate eat-in kitchen! Kitchen features white fridge & gas stove. New hardwood floors throughout! Walk-in Closet. Cooking Gas, Heat, & Water included. -=>", 1001-1500, 1001-
3027,"Nicely appointed apartment for rent at sought-after Shoemaker Lofts in Avondale neighborhood of Chicago. Close to CTA Blue Line, 56 Milwaukee and 77 Belmont buses, and I90/94. Includes workout room and community meeting room; doorman and secure package receipt; open loft layout with large kitchen and peninsula; stainless steel appliances, granite countertops, and hardwood floor; extra large balcony; large double-sink bathroom; window blinds; bedroom ceiling fan; and in-unit laundry. New HVAC in January 2022. Owner on the premises. Does not include a parking space or storage unit. -=>", 1501-2000, 1501-
1713,"TEXT 847-220-2948 FOR FASTEST RESPONSE! I HAVE WALKTHROUGH VIDEO I CAN SEND! PROPERTY INFO ID: 187257898 Rent: $1,600 / Month Beds: 1 Bath: 1 Available Date: 06/01/2023 Pet: Pet Friendly Parking:: street parking One bedroom, one bath gut rehab garden condo in Roscoe Village / Lakeview featuring a granite kitchen with breakfast bar, marble bath with jacuzzi tub, large bedroom, air conditioning, laundry in building, pets welcome, easy street parking and more! Living room 11'1x9' Kitchen 7'5x4'1 Bedroom 8'4x10'7 Bathroom 4'11x9'3 FEATURES Cats OK Dishwasher Dogs OK Granite Counter Tops Hardwood Floors Laundry in Building Microwave Pet Friendly Stainless Steel Appliances -=>", 1501-2000, 1501-
493,"2BR / 1Ba available now 2 renovated bedrooms with walk in closets. - 2nd floor - Large living room. - Large kitchen with lots of cabinet and countertop space. - Central heating. - Facing south for lots of natural light. - Fridge and stove provided - Both bedrooms fit queen size beds plus more! - Move in ready July 15th - No smoking Spacious apartment in Pilsen/Little Village Close to UIC Close to Medical District, Mount Sinai Hospital, St. Augustine Hospital, Pink Line, CTA buses. California and Cermak Area Features: Many Restaurants, Churches, City park, Laundromats, Car Washes, Pete's Fresh market, Lagunitas, Planet Fitness, Walmart Neighborhood Market and so much more just steps away. No need to drive in this area. Landlord Requirements: Deposit and First Months Rent or $500 non refundable move in fee. -No Pets -Utilities are separate. Contact: Wendy (773)931-7481 phone call and text is best. 2626 W. 23rd St. (2 blocks south of Cermak and 1 block east of California) -=>", 1001-1500, 1001-
821,"575 Square Footage Lake Views Large Kitchen with breakfast bar Large walk-in closet (it fits a queen bed) Harwood Floor Floor to ceiling windows Heat Included You will Only pay for electricity & internet No application fee No security deposit $30 pet fee Income requirements 3 times the rent ($3,600 minimum) Bike room Laundry room Across the street from Mariano’s Couple of blocks from Foster Beach Fitness center with lake views No application fee No security deposit $30 pet fee -=>", 1001-1500, 1001-
1334,"This West Loop luxury boutique building is what indulgence is about. Filled with extravagant and trendy details, this convenient community offers a modern fitness center with a private instructor, patio deck with gas grills and lounge, rooftop pool with striking city views. Take advantage of the 24-hour concierge service, private package room, and cyber cafe. Each residence offers spacious floor plans, an in-unit W/D and sophisticated details like quartz countertops, warm grey cabinetry, and stainless steel appliances. With easy expressway access for commuters and a straight shot into the Loop, getting to work is a breeze. Pets are welcome, but breed and weight restrictions apply. Parking is available at an additional cost. -=>", 2001-2500, 2501-
4075,"PROPERTY INFO ID: 72569732 Rent: $1,850 / Month Beds: 1 Bath: 1 Pet: Pet Friendly *Preferred Employer Discount Available Tour: Call Text Azalia at 630.853.6340 Conveniently located in the charming neighborhood of University Village and right near Little Italy and the Medical District, this property is close to Rush University, Stroger Hospital and the UIC campus. Offering easy access to the I-290 and 1-90/94 expressways, it is less than 5 minutes from the CTA Pink Line and public buses that run to the Loop or downtown. Unwind on Taylor Street, where you can find endless bars and restaurants, or walk to any one of four parks less than a half mile away. On-site amenities include an outdoor pool, BBQ/picnic area, gym and business center. These resident and student friendly apartments are quiet and spacious, with ceiling fans and walk-in closets. All units have been renovated with hardwood flooring and new kitchens. Select units also offer balconies. The building has on-site washers and dryers and a fob security key system. Parking is available on-site at an additional charge and there is permit street parking within walking distance. Cats and dogs are accepted throughout (dog breed restrictions apply, but there is no weight limit) and there is a dog park on-site for your furry friend. FEATURES Balcony-Some Units Central Air-Yes Dishwasher-All Dogs-Weight Limit Flooring-Hardwood Only Laundry-On Site Pool-Outdoor Security-Intercom/Key Fob Security-Part-Time Doorman Smoking-No Stove-Electric Value Property Azalia Allen 630-853-6340 HotSpot Rentals(License #481.011892) Disclaimer: Photos may not be of exact unit available and may be of various model units and various vacant units. Apartment availability and lease terms may vary. Pricing, availability, and specials are subject to change at any time and without notice. Please note that the price may be net effective of a special or concession that the building is currently running. Information is believed to be accurate, however, is subject to errors and omissions. HotSpot Rentals services the following neighborhoods: South Loop, Printers Row, Near North, River North, Gold Coast, West Loop, Fulton River District, West Loop Gate, The Loop, Streeterville, Lakeshore East, New East Side, Old Town, Medical District, University Village, Near North, River West, Lincoln Park South, Lakeview, Uptown, Ukrainian Village, Wicker Park, Edgewater, Ravenswood, Bronzeville, Logan Square -=>", 1501-2000, 1501-
767,"For Rent Available 09/01/2022 511 W Division St Apt 510, Chicago, IL 60610 Property Type: Condo Rent: $3500 Deposit: $0 Bedrooms:2 Bathrooms:2 Sq. Ft.:0 Amenities: balcony, air conditioning, attached garage, dishwasher, washer/dryer, small dogs not allowed, large dogs not allowed, cats not allowed, smoking not allowed Description Amazing 2 bed 2 bath located in Old Town available for 9/1! This home won't disappoint with spacious living/dining combo open to the updated kitchen with dishwasher and stainless fridge/oven. Space for a large couch, peloton, and dining table. South facing exposure with large balcony great for relaxing with a view of the Chicago skyline. Two large bedrooms and bathrooms complete this home with plenty of closet space and bathroom storage. The building has secure fob entry, and the unit comes with an oversized, heated garage parking space. Rent includes parking, heating, cooling, and gas. Inquire for more details! Apply Now -=>", 3501-4000, 3501-
3019,Short term (6 month) and long term available! NO APPLICATION FEE! Partial furnishings negotiable. Gorgeous 1-bedroom apartment for rent between Old Town and Lincoln Park with balcony overlooking 18th floor skyline - great location. Lease for 6-14 months (furnishings negotiable). Unit Details - Stainless steel appliances - In-unit laundry - Central AC - Walk-in closet Building Details - Best part about this building is that it is CONNECTED to a Mariano’s grocery store 😂 would not believe how convenient this is - Pool - Hot Tub - Gym - Yoga Studio - Connected to King’s Bowling AND AMC Theater - Paid parking available in garage -=>, 2501-3000, 2001-2500
2669,"PROPERTY INFO ID: 259196523 Rent: $1,075 / Month Beds: 0 Bath: 1 Available Date: NOW!! Pet: Pet Friendly Rogers Park studio featuring: - Refrigerator - Pet friendly! - Diswasher - Laundry in building - Ton of natural light! -  Located down the block from popular Heartland Cafe, our residents love frequenting charming restaurants and local boutiques. Living just steps from Morse ""L"" stop makes these apartment homes perfect for Loyola University students or busy professionals looking to find their home in the diverse Rogers Park neighborhood. . FEATURES Cats Ok Dogs Ok No Smoking The Apartment Source Text for quicker response 773-404-9900 -=>", 1001-1500, 1001-
3866,"Lakeview 1 Bed, 1 Bath 3254 N. Clifton Available: Now $1895 per Month Incredible one bedroom, one bathroom in Lakeview features rehabbed kitchen with granite countertops, stainless steel appliances, dishwasher, spacious living area, large bedroom, great closet space, hardwood floors, central heat and air, rehabbed bathroom, in unit laundry, parking available, and pets welcome! UA1701 Heat Included: No Air Conditioning: Yes Dishwasher: Yes Laundry: In Unit Flooring: Hardwood Parking: Street Pets: Cats and Dogs OK Square Feet: 700 Apartment ID: 30955 Please call or text Mary Ann de la Cruz at 773/852-3421 to schedule an appointment to view this apartment and mention Apartment ID above. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing -=>", 1501-2000, 1501-
1269,"Incredible price for a Lincoln Park 1 Bed in an incredibly clean and well-maintained building. Top floor unit with ample natural light throughout! Unit features: hardwood floors, heat included, dishwasher and separate eat in kitchen. Close walk to train, Oz Park, and DePaul University. Available Now! -=>", 1001-1500, 1001-
1959,"-Located on the top floor (3rd floor, walk up 4 flights) -Tons of natural light! -Kitchen and bath remodeled in 2022 -Stainless steel appliances, including dishwasher -Queen-sized bedrooms -FREE HEAT -Shared laundry in the basement, pay by coin or app -Extra storage Please note there is no outdoor space or central a/c. The kitchen is not an eat-in kitchen and there is no separate dining room. Tenants will need to provide their own window unit(s) if they wish to have a/c.  Street parking only, this building does not have off-street parking available. Heat, water and trash are included. Tenant pays cooking gas and electricity. Cats okay, 2 max. Sorry, no dogs Minimum credit score of 650 required $65 non refundable application fee per person $500 non refundable move-in fee (flat fee, not per person) When inquiring, please include your name, email and cell # and which apartment you are inquiring about MTD Property Management 773-997-2624 (text or messaging here preferred @Natalie) do NOT contact me with unsolicited services or offers -=>", 1501-2000, 1001-
1559,"FURNISHED 4-bd/4-ba single-family home, with gym (Tonal & Peloton) and fenced-in yard! Located in historic Gap neighborhood, there's free street parking & a 10-min drive to downtown; 6 min drive to McCormick Place. The house is a 5 min walk to Green Line and 10min walk to Red Line. ~10 min drive to Soldier Field for Bears games. Excellent location for McCormick Place, Illinois Tech, Univ of Chicago, IL College of Optometry, Wintrust Arena & White Sox. The space This is a wonderful home for a family or group of friends. The living and dining areas of the home offer a place to relax, dine and socialize. This home features a comfortable family room and a fully equipped kitchen which offers a stove, oven, microwave and full-sized refrigerator as well as basic cooking tools, dishes, cups, cutlery and supplies. The first floor contains: - family room - kitchen - living room - dining room - beautiful outdoor space with a pergola (adorned with authentic Jamaican grape vines) and a green space in the fenced-in yard. The upper floor contains three bedrooms: - Master with King size bed and en-suite bathroom - Bedroom with full size bed - Bedroom with full size bed - Washer and Dryer - Additional upstairs bathroom with shower and tub The basement contains: - ""In-law suite"" with queen bed and en suite bathroom with shower - Open space for kids' play or additional recreation/art/play - Exercise area with Peloton, Tonal, bench and free weights - Additional entry/exit available from basement Additional amenities include self-controlled A/C and closet space with hangers, an iron and ironing board and washer and dryer. Other things to note The house is located in a quaint, quiet residential neighborhood with lots of families with small children. Neighbors are super friendly! Our home is very child-friendly and is very wired technologically! This includes - 4 LCD Televisions (all with cable access), - stream your content via Apple TVs - smart remotes - Fiber internet - Whole Home Wi-Fi For children: - Games - Toys - Art supplies - Books ** NO SMOKING PLEASE -=>", 4501-5000, 4001-
3783,Looking for a sub-leaser to take over my lease at my apartment at Glen Ellyn Apartments from February-August 2023. I have an awesome roommate who’s a 31 yr old finishing up acupuncture school. The rent is $664 not including utilities which is only about $21 a month. The apartment complex has a pool and free parking. The apartment is furnished and the room will be unfurnished except I can leave the mattress if desired. There will not be a dog (ignore the one in the picture) The bedroom will be unfurnished. Please message me if you’re interested -=>, 501-1000, 501-1000
1884,"4708 N. Racine Uptown Renovated one bedroom, one bathroom in beautiful vintage courtyard near Racine and Leland features rehabbed kitchen with granite countertops, stainless steel appliances, gas oven/range, built in microwave, fridge, dishwasher, gorgeous hardwood floors throughout, ample closet/storage space, rehabbed bathroom, individually controlled heat and AC, in unit laundry, pets OK to 25 lb..! Close to transportation, dining, nightlife, theaters, cafes, shopping and more! Please text Molly Parshall at 262/402-8414‬ to schedule an appointment to view this apartment and mention Apartment ID: 34497. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing -=>", 1501-2000, 1501-
3318,"505 W. Belmont Lakeview Awesome studio in the heart of Lakeview! Unit features cooking gas included, rehabbed kitchen with modern gray cabinets, stainless steel appliances, dishwasher, microwave, beautiful hardwood floors, huge bright windows, awesome closet space, rehabbed bathroom, on site laundry room, and pets are welcome! Walking distance to Belmont Harbor, nightlife, shopping, and more! UA1701 Please Call Aleksandra Chadiev at 224/322-5494‬ to schedule an appointment to view this apartment and mention Apartment ID: 21012. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing -=>", 501-1000, 1001-
2516,"1446 N. Dearborn Gold Coast Amazing studio on the Gold Coast features newer kitchen with dishwasher, separate dining area with ceiling fan, spacious living area, great closet space, built in AC unit, newer bathroom, laundry room onsite, and pets are welcome! Steps to shopping, nightlife, Blue Line train, and more! UA1701 Please Call Matt Byars at 708/870-1755‬ to schedule an appointment to view this apartment and mention Apartment ID: 22779. Urban Abodes 773.676.9000 <URL> 3923 N. Ashland Avenue Chicago, IL 60613 Equal Opportunity Housing -=>", 1001-1500, 1001-
