,prompt,expected_completion,actual_completion
203,"num BEDROOM PLACE PARK Is rent cheap, average, or expensive? <SEP>
", expensive, average
149,"Check out this deal! Amazing num Bed num Bath in PLACE Is rent cheap, average, or expensive? <SEP>
", average, average
475,"PLACE Large sunny one bedroom apartment Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
76,"Underpriced num Bedroom in North PLACE  Is rent cheap, average, or expensive? <SEP>
", average, cheap
2,"Bright, Spacious Loft in Prime PLACE Location - $num Is rent cheap, average, or expensive? <SEP>
", expensive, average
546,"Beautiful vintage num bed on Cornelia and Sheffield Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
469,"In Unit Laundry! Gut Rehab numBD/numBa With New Kitchen! Is rent cheap, average, or expensive? <SEP>
", expensive, average
52,"PLACEvated PLACE apartment near Brown Line! Free Heat, Free Gas Is rent cheap, average, or expensive? <SEP>
", average, average
262,"Beautiful Brand New Property PLACE Schedule Tour Today Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
461,"PLACE LOW RISE LOFT CONDO Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
253,"Cute Modern PLACE num Bed - Gym Is rent cheap, average, or expensive? <SEP>
", cheap, average
504,"Dazzling num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", expensive, average
384,"PLACE - numBD/num.numBTH apartment on Armitage! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
259,"Spacious num bed right by Loyola  PLACE  Is rent cheap, average, or expensive? <SEP>
", expensive, cheap
333,"num BEDROOM APARTMENT EVERYTHING BRAND NEW Is rent cheap, average, or expensive? <SEP>
", cheap, average
369,"Nice PLACE num bedroom~ W/D, Gym, Steam Room, Indoor Pool & Bball Is rent cheap, average, or expensive? <SEP>
", cheap, average
321,"Look at this spacious one bedroom with updated kitchen & Heat included Is rent cheap, average, or expensive? <SEP>
", average, average
151,"Nice big num bedroom apartment Is rent cheap, average, or expensive? <SEP>
", expensive, average
302,"Spacious PLACE num bedroom, BALCONY, Large Closets! numhr doorstaff Is rent cheap, average, or expensive? <SEP>
", cheap, average
190,"Wonderfully Rehabbed PLACE One Bedroom! New Kitchen! Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
348,"Cute num Bedroom, num Bath in PLACE  Available: Now Is rent cheap, average, or expensive? <SEP>
", average, average
243,"SPACIOUS numBED IN RAVENSWOOD W/ FREE HEAT & GAS!!!! AVAIL num/num Is rent cheap, average, or expensive? <SEP>
", average, cheap
87,"BRAND NEW num Bed in PLACE Balcony, Laundry, Full Amenity~Pets OK! Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
528,"Location! Formal Dining Room! Dishwasher! Small Dog Ok! Ready num/num! Is rent cheap, average, or expensive? <SEP>
", expensive, average
418,"Top Floor Corner num bedroom Plus sunroom Is rent cheap, average, or expensive? <SEP>
", cheap, average
288,"PLACE num-BEDROOM PENTHOUSE Is rent cheap, average, or expensive? <SEP>
", cheap, expensive
166,"Awesome location num block to blue line Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
545,"What a Rarity! Central Air in a Rehabbed PLACE One Bedroom! Is rent cheap, average, or expensive? <SEP>
", average, cheap
155,"Charming numBr Sublet num/num-num/num w/ option to renew (furnished available) Is rent cheap, average, or expensive? <SEP>
", cheap, expensive
356,"NEW GUT REHAB IN PLACE PARK Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
381,"Apt for Rent: Than Tower Unit num (numBR/numBA) Is rent cheap, average, or expensive? <SEP>
", average, expensive
279,"Spacious East PLACE numBD Apt. near Red Line! On-Site W/D Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
126,"Stunning num bed num bath Is rent cheap, average, or expensive? <SEP>
", average, expensive
22,"Studios and One-Bedroom Units Near Downtown PLACE  $num-$num (num Is rent cheap, average, or expensive? <SEP>
", average, cheap
282,"Hip num Bedroom, num Bath in PLACE  Available: Now Is rent cheap, average, or expensive? <SEP>
", average, average
471,"Ravenswood Manor - Garden Apartment for Rent Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
367,"Must See! Lofted num Bedroom, In-unit Laundry, Balcony, Pool, Gym, Is rent cheap, average, or expensive? <SEP>
", cheap, expensive
25,"Super cute num bed w/ heat included, balcony, shared yard, cats okay Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
196,"Beautiful! Granite Kitchen! Stainless Steel! Is rent cheap, average, or expensive? <SEP>
", expensive, average
64,"num bedroom Condo for Rent -Sublease *($num) Is rent cheap, average, or expensive? <SEP>
", average, average
15,"PLACE num bedroom, large closets,  across from lake Is rent cheap, average, or expensive? <SEP>
", average, cheap
466,"Simply stunning! Luxurious num Bed / num Bath in PLACE  Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
297,"Spacious num bed garden unit w/ free heat and cooking gas! Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
336,"Beautiful num bed num bath in the heart of PLACE Is rent cheap, average, or expensive? <SEP>
", average, average
26,"Rehabbed Kitchen & Bath! Pet Friendly! Ready Now! Is rent cheap, average, or expensive? <SEP>
", average, average
43,"PLACE num BED CONDO GRANITE S/S W/D DECK BIG BEDROOM Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
497,"Classy num Bedroom, num Bath in Ravenswood, Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", average, average
515,"PLACEvated num Bedroom in South PLACE with Balcony and Roofdeck Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
556,"Studio In PLACE With W/D, WI Closet, & Fitness Center! Is rent cheap, average, or expensive? <SEP>
", cheap, average
454,"PLACE One Bedroom Condo For Rent Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
387,"Upscale num Bedroom South PLACE  W/D, Hwd, Full Length Windows, Gym/Pool Is rent cheap, average, or expensive? <SEP>
", expensive, average
71,"Pets Welcome! We accept indoor cats and dogs! Ask for details! Is rent cheap, average, or expensive? <SEP>
", cheap, expensive
542,"Location! Heat Included! Updated Kitchen & Bathroom! Small Dog Ok! Is rent cheap, average, or expensive? <SEP>
", average, average
456,"NEW LISTING num Bedroom, PLACE  Heat, WIFI, Cable INCLUDED  num/num/num Is rent cheap, average, or expensive? <SEP>
", cheap, expensive
431,"River West Loft Living! num-num' ceilings, Exposed brick & timbers, Gym Is rent cheap, average, or expensive? <SEP>
", average, average
264,"Simply beautiful num bed / num bath in prime PLACE neighborhood Is rent cheap, average, or expensive? <SEP>
", expensive, average
209,"Quintessential num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
316,"Spacious & Modern num Bedroom in PLACE - W/D in-unit! Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
513,"AMAZING num BED AVAILABLE - $num,num Is rent cheap, average, or expensive? <SEP>
", average, average
313,"Courtyard Building In The Heart Of PLACE  Pets Welcome! Is rent cheap, average, or expensive? <SEP>
", average, average
534,"Incredible num bedroom ! separate living /dining area! PLACE  Is rent cheap, average, or expensive? <SEP>
", average, average
319,"Cool PLACE apt near Red Line!, Free Heat, Free Gas Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
7,"Heat Included! Updated Kitchen! Great Location! Is rent cheap, average, or expensive? <SEP>
", cheap, average
393,"Spacious One Bedroom in PLACE RE-LET Is rent cheap, average, or expensive? <SEP>
", cheap, average
141,"num N. PLACE in PLACE numBed-HDWD,SS Appl,DW,MW,Laundry on Site Is rent cheap, average, or expensive? <SEP>
", expensive, average
86,"Fully Furnished num Bedroom In PLACE Is rent cheap, average, or expensive? <SEP>
", cheap, expensive
478,"Gorgeous num Bedroom, num Bath in Ravenswood, Available: Now Is rent cheap, average, or expensive? <SEP>
", average, average
503,"HUGE num Bed, PLACE Vintage Charm, Dining Rm, Sun Rm, Pets OK Is rent cheap, average, or expensive? <SEP>
", average, average
215,"Luxury num BD Sublet thru July numst - PLACE Is rent cheap, average, or expensive? <SEP>
", expensive, expensive
562,"PLACEvated PLACE num Bedroom Apartment! (num-num) Is rent cheap, average, or expensive? <SEP>
", average, average
398,"HEART OF PLACE MOVE IN FEES WAIVED BOOK TODAY WONT LAST LONG Is rent cheap, average, or expensive? <SEP>
", average, average
490,"Hip num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", average, average
252,"numbr Top floor apartment Is rent cheap, average, or expensive? <SEP>
", average, cheap
468,"Great Value for this num Bedroom in PLACE - Steps from Oglivie Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
357,"Very sunny one bedroom apartment Is rent cheap, average, or expensive? <SEP>
", average, average
254,"Valuable num Bedroom, num Bath in PLACE  Available: num/num/num Is rent cheap, average, or expensive? <SEP>
", average, cheap
276,"Gorgeous PLACE Apt! Bay Windows~Balcony~In Unit Laundry~Must See! Is rent cheap, average, or expensive? <SEP>
", expensive, average
178,"Rehabbed Pet Friendly Studio! Recently Updated! Close To Red Line! Is rent cheap, average, or expensive? <SEP>
", average, cheap
281,"Beautiful South PLACE One Bedroom Loft Is rent cheap, average, or expensive? <SEP>
", cheap, expensive
390,"Furnished Studio - Great Monthly Rates! Is rent cheap, average, or expensive? <SEP>
", average, average
508,"Spacious and elegant! You've found your ideal num bed / num bath! Is rent cheap, average, or expensive? <SEP>
", expensive, average
129,"PLACE: num` BED num BATH HDWD S/S DW MICRO GRANITE BALCONY Is rent cheap, average, or expensive? <SEP>
", cheap, cheap
144,"num bedroom in Hot PLACE Market Location - In unit laundry - Doorman Is rent cheap, average, or expensive? <SEP>
", average, average
72,"Check out this lovely num bed apt with view of Lake Michigan!! Is rent cheap, average, or expensive? <SEP>
", expensive, average
235,"Rehab num Bedroom, Heat Included, PLACE  Dishwasher, Pets Ok Is rent cheap, average, or expensive? <SEP>
", average, average
37,"Location! Heat & Gas Included! Updated Bathroom! Elevator Building! Is rent cheap, average, or expensive? <SEP>
", average, average
